class,f1_score,precision,recall,support
walking,0.6,0.67,0.54,4109.0
walking_upstairs,0.5,0.48,0.54,2132.0
walking_downstairs,0.62,0.59,0.67,2036.0
sitting,0.71,0.7,0.73,10964.0
standing,0.73,0.68,0.79,5058.0
laying,0.68,0.75,0.63,6219.0
