class,f1_score,precision,recall,support
walking,0.58,0.66,0.52,3466.0
walking_upstairs,0.49,0.47,0.5,1714.0
walking_downstairs,0.54,0.45,0.68,1626.0
sitting,0.78,0.75,0.8,9362.0
standing,0.69,0.69,0.7,4465.0
laying,0.76,0.85,0.69,4877.0
