class,f1_score,precision,recall,support
walking,0.63,0.58,0.7,7265.0
walking_upstairs,0.35,0.46,0.29,3595.0
walking_downstairs,0.63,0.61,0.65,3455.0
sitting,0.8,0.74,0.88,19851.0
standing,0.8,0.91,0.72,9449.0
laying,0.73,0.83,0.65,10243.0
